Company Name,URL,Focus Areas,Short Description
BuiltWithGenerativeAI,https://twitter.com/builtwithgenai,,A community for builders who are using generative ai.
Copy AI,https://www.copy.ai/,Copywriting,Experience the full power of an AI content generator that delivers premium results in seconds.
Copysmith,https://copysmith.ai/,Copywriting,Copysmith is the AI content creation solution for Enterprise & eCommerce
Jasper AI,https://www.jasper.ai/,Copywriting,"Jasper is the AI Content Platform that helps you and your team break through creative blocks to create amazing, original content 10X faster."
Contenda,https://contenda.co/,Copywriting,"Contenda's artificial intelligence tools reimagine your content in new formats for your audience to discover, with no extra work from you."
Writesonic,https://writesonic.com/,Copywriting,"Meet Writesonic: World's only AI writer that helps you write SEO-optimized,
long-form (up to 1500 words) blog posts & articles in 15 seconds."
Anyword,https://anyword.com/,Copywriting,Copywriting AI with predictable results
Hypotenuse AI,https://www.hypotenuse.ai/,Copywriting,Let AI write your content in seconds. Without writer’s block.
Writer,https://writer.com/,Copywriting,Writer is the AI writing platform for teams
Regie.ai,https://www.regie.ai/,Copywriting,The AI Content Platform for Modern GTM Teams
PepperType AI,https://www.peppertype.ai/,Copywriting,Your Virtual Content Assistant
Bertha,https://bertha.ai/,Copywriting,The Fastest Way To Create Content For Your WordPress Website
Clickable,https://www.clickable.so/,Copywriting,Generate ads in seconds with AI
Contents,https://www.contents.com/,Copywriting,The Generative AI to power up your content strategy.
GitHub Copilot,https://github.com/features/copilot,Coding,Your AI pair programmer
Tabnine,https://www.tabnine.com/,Coding,AI assistant for software developers
Codiga,https://www.codiga.io/,Coding,Code Snippets and Code Analysis
Mutable AI,https://mutable.ai/,Coding,Build fast with production quality using AI
Replit Ghostwriter,https://replit.com/,Coding,"Accelerate your coding with AI assistance and mobile app
"
Mintlify,https://mintlify.com/,Coding,Beautiful documentation that converts users
Stenography,https://stenography.dev/,Coding,Finally. Automatic Documentation.
Debuild,https://debuild.app/,Coding,The AI-powered low-code tool that helps you build web apps blazingly fast.
Enzyme,https://enzyme.so/,Coding,"Create, manage and ship web3 apps with ease."
Durable,https://durable.co/ai-website-builder,Coding,Build a website in 30 seconds using artificial intelligence
Moderne,https://www.moderne.io/,Coding,"Automated software refactoring to keep up-to-date with API changes, fix vulnerabilities, and improve code quality."
Warp,https://www.warp.dev/,Terminal,"Our GPT-3 powered AI search will convert natural language into executable shell commands. It's like GitHub Copilot, but for the terminal."
Autoregex,https://www.autoregex.xyz/,Regex,Regex is difficult to write and comprehend to the average human. This website uses artificial intelligence to automate this task by translating back and forth between English and RegEx
AI2SQL,https://www.ai2sql.io/,SQL,"With AI2sql, engineers and non-engineers can easily write efficient, error-free SQL queries without knowing SQL."
Ottertune,https://ottertune.com/,Database,AI-Powered Database Admin
excelformulabot,https://excelformulabot.com/,"Database,Coding",Transform your text instructions into Excel formulas in seconds with the help of AI.
